Time,Susceptible,Infected,Recovered
58.650000,5863.909849,10429.293683,73706.796468
58.700000,5853.743866,10392.610423,73753.645710
58.750000,5843.631181,10356.038690,73800.330129
58.800000,5833.571469,10319.578306,73846.850225
58.850000,5823.564408,10283.229091,73893.206500
58.900000,5813.609680,10246.990866,73939.399454
58.950000,5803.706968,10210.863448,73985.429584
59.000000,5793.855956,10174.846653,74031.297391
59.050000,5784.056332,10138.940298,74077.003370
59.100000,5774.307785,10103.144196,74122.548019
59.150000,5764.610008,10067.458159,74167.931833
59.200000,5754.962694,10031.881999,74213.155307
59.250000,5745.365538,9996.415526,74258.218935
59.300000,5735.818240,9961.058549,74303.123211
59.350000,5726.320498,9925.810876,74347.868626
59.400000,5716.872016,9890.672311,74392.455673
59.450000,5707.472497,9855.642662,74436.884840
59.500000,5698.121649,9820.721732,74481.156620
59.550000,5688.819178,9785.909323,74525.271499
59.600000,5679.564796,9751.205238,74569.229966
59.650000,5670.358215,9716.609277,74613.032508
59.700000,5661.199150,9682.121239,74656.679611
59.750000,5652.087315,9647.740924,74700.171761
59.800000,5643.022431,9613.468128,74743.509441
59.850000,5634.004217,9579.302648,74786.693135
59.900000,5625.032395,9545.244279,74829.723325
59.950000,5616.106689,9511.292817,74872.600494
60.000000,5607.226826,9477.448053,74915.325121
60.050000,5598.392532,9443.709782,74957.897686
60.100000,5589.603538,9410.077794,75000.318668
60.150000,5580.859575,9376.551880,75042.588545
60.200000,5572.160376,9343.131830,75084.707794
60.250000,5563.505677,9309.817433,75126.676890
60.300000,5554.895215,9276.608476,75168.496309
60.350000,5546.328728,9243.504748,75210.166524
60.400000,5537.805956,9210.506034,75251.688009
60.450000,5529.326644,9177.612120,75293.061236
60.500000,5520.890533,9144.822792,75334.286675
60.550000,5512.497371,9112.137832,75375.364798
60.600000,5504.146904,9079.557024,75416.296072
60.650000,5495.838882,9047.080151,75457.080967
60.700000,5487.573056,9014.706995,75497.719949
60.750000,5479.349179,8982.437336,75538.213485
60.800000,5471.167004,8950.270956,75578.562040
60.850000,5463.026289,8918.207633,75618.766078
60.900000,5454.926790,8886.247147,75658.826063
60.950000,5446.868266,8854.389277,75698.742456
61.000000,5438.850480,8822.633800,75738.515720
61.050000,5430.873192,8790.980494,75778.146314
61.100000,5422.936168,8759.429135,75817.634697
61.150000,5415.039172,8727.979499,75856.981329
61.200000,5407.181973,8696.631361,75896.186665
61.250000,5399.364340,8665.384498,75935.251163
61.300000,5391.586041,8634.238682,75974.175277
61.350000,5383.846850,8603.193688,76012.959462
61.400000,5376.146540,8572.249289,76051.604171
61.450000,5368.484886,8541.405258,76090.109856
61.500000,5360.861664,8510.661367,76128.476969
61.550000,5353.276653,8480.017389,76166.705959
61.600000,5345.729631,8449.473094,76204.797275
61.650000,5338.220381,8419.028254,76242.751366
61.700000,5330.748683,8388.682639,76280.568678
61.750000,5323.314322,8358.436020,76318.249658
61.800000,5315.917084,8328.288166,76355.794750
61.850000,5308.556755,8298.238846,76393.204399
61.900000,5301.233123,8268.287830,76430.479047
61.950000,5293.945978,8238.434885,76467.619137
62.000000,5286.695111,8208.679781,76504.625108
62.050000,5279.480313,8179.022286,76541.497401
62.100000,5272.301380,8149.462166,76578.236455
62.150000,5265.158105,8119.999189,76614.842706
62.200000,5258.050286,8090.633122,76651.316593
62.250000,5250.977719,8061.363731,76687.658549
62.300000,5243.940205,8032.190784,76723.869011
62.350000,5236.937544,8003.114046,76759.948411
62.400000,5229.969536,7974.133282,76795.897181
62.450000,5223.035987,7945.248259,76831.715754
62.500000,5216.136699,7916.458742,76867.404559
62.550000,5209.271479,7887.764496,76902.964026
62.600000,5202.440133,7859.165286,76938.394582
62.650000,5195.642469,7830.660876,76973.696655
62.700000,5188.878298,7802.251030,77008.870672
62.750000,5182.147429,7773.935515,77043.917056
62.800000,5175.449675,7745.714092,77078.836232
62.850000,5168.784849,7717.586527,77113.628624
62.900000,5162.152766,7689.552583,77148.294652
62.950000,5155.553240,7661.612023,77182.834737
63.000000,5148.986089,7633.764612,77217.249300
63.050000,5142.451130,7606.010112,77251.538758
